RES,Subspace,Method,RUN,ACC
3,AllChPCA,RF,8,1.55945419103314
3,AllChPCA,RF,9,1.52505446623094
3,AllChPCA,RF,10,1.23456790123457
3,AllChPCA,RF,11,1.55945419103314
3,AllChPCA,RF,12,1.364522417154
3,AllChPCA,RF,13,1.440329218107
3,AllChPCA,RF,14,1.64609053497942
3,AllChPCA,RF,15,1.30718954248366
3,AllChPCA,RF,16,1.08932461873638
3,AllChPCA,RF,17,1.15740740740741
3,AllChPCA,RF,18,1.75438596491228
3,AllChPCA,RF,19,1.52505446623094
3,AllChPCA,RF,20,1.440329218107
3,AllChPCA,RF,21,2.05761316872428
3,AllChPCA,RF,22,1.64609053497942
3,AllChPCA,RF,23,1.02880658436214
3,AllChPCA,RF,24,1.02880658436214
3,AllChPCA,RF,25,1.66666666666667
3,AllChPCA,RF,26,1.55945419103314
3,AllChPCA,RF,27,1.440329218107
3,AllChPCA,RF,28,0.823045267489712
3,AllChPCA,RF,29,2.03703703703704
3,AllChPCA,RF,30,0.617283950617284
3,AllChPCA,RF,31,1.364522417154
3,AllChPCA,RF,32,1.16959064327485
3,AllChPCA,RF,33,0.779727095516569
3,AllChPCA,RF,34,1.15740740740741
3,AllChPCA,RF,35,1.74291938997821
3,AllChPCA,RF,36,1.16959064327485
3,AllChPCA,RF,37,1.52505446623094
3,AllChPCA,RF,38,1.55945419103314
3,AllChPCA,RF,39,1.74291938997821
3,AllChPCA,RF,40,1.52505446623094
3,AllperCh,KNN,1,40.5458089668616
3,AllperCh,KNN,2,37.8167641325536
3,AllperCh,KNN,3,40.5458089668616
3,AllperCh,KNN,4,34.7736625514403
3,AllperCh,KNN,5,36.4522417153996
3,AllperCh,KNN,6,36.4522417153996
3,AllperCh,KNN,7,42.3868312757202
3,AllperCh,KNN,8,34.5029239766082
3,AllperCh,KNN,9,34.4226579520697
3,AllperCh,KNN,10,35.1851851851852
3,AllperCh,KNN,11,34.6978557504873
3,AllperCh,KNN,12,32.5536062378168
3,AllperCh,KNN,13,32.0987654320988
3,AllperCh,KNN,14,39.5061728395062
3,AllperCh,KNN,15,32.0261437908497
3,AllperCh,KNN,16,35.7298474945534
3,AllperCh,KNN,17,34.4907407407407
3,AllperCh,KNN,18,39.9610136452242
3,AllperCh,KNN,19,33.5511982570806
3,AllperCh,KNN,20,32.9218106995885
3,AllperCh,KNN,21,35.59670781893
3,AllperCh,KNN,22,33.3333333333333
3,AllperCh,KNN,23,30.4526748971194
3,AllperCh,KNN,24,31.4814814814815
3,AllperCh,KNN,25,37.4074074074074
3,AllperCh,KNN,26,33.7231968810916
3,AllperCh,KNN,27,32.5102880658436
3,AllperCh,KNN,28,28.1893004115226
3,AllperCh,KNN,29,41.2962962962963
3,AllperCh,KNN,30,25.5144032921811
3,AllperCh,KNN,31,29.6296296296296
3,AllperCh,KNN,32,33.3333333333333
3,AllperCh,KNN,33,30.214424951267
3,AllperCh,KNN,34,34.2592592592593
3,AllperCh,KNN,35,39.8692810457516
3,AllperCh,KNN,36,32.1637426900585
3,AllperCh,KNN,37,37.4727668845316
3,AllperCh,KNN,38,36.2573099415205
3,AllperCh,KNN,39,38.3442265795207
3,AllperCh,KNN,40,36.1655773420479
3,AllperCh,RF,1,47.1734892787524
3,AllperCh,RF,2,36.4522417153996
3,AllperCh,RF,3,43.6647173489279
3,AllperCh,RF,4,38.8888888888889
3,AllperCh,RF,5,38.7914230019493
3,AllperCh,RF,6,38.401559454191
3,AllperCh,RF,7,44.238683127572
3,AllperCh,RF,8,39.1812865497076
3,AllperCh,RF,9,36.6013071895425
3,AllperCh,RF,10,39.5061728395062
3,AllperCh,RF,11,37.2319688109162
3,AllperCh,RF,12,34.8927875243665
3,AllperCh,RF,13,37.0370370370371
3,AllperCh,RF,14,40.1234567901235
3,AllperCh,RF,15,33.115468409586
3,AllperCh,RF,16,33.3333333333333
3,AllperCh,RF,17,39.1203703703704
3,AllperCh,RF,18,39.1812865497076
3,AllperCh,RF,19,38.7799564270152
3,AllperCh,RF,20,37.4485596707819
3,AllperCh,RF,21,45.4732510288066
3,AllperCh,RF,22,42.1810699588477
3,AllperCh,RF,23,30.0411522633745
3,AllperCh,RF,24,33.5390946502058
3,AllperCh,RF,25,40.7407407407407
3,AllperCh,RF,26,36.0623781676413
3,AllperCh,RF,27,40.3292181069959
3,AllperCh,RF,28,32.0987654320988
3,AllperCh,RF,29,48.3333333333333
3,AllperCh,RF,30,30.4526748971193
3,AllperCh,RF,31,32.5536062378167
3,AllperCh,RF,32,35.8674463937622
3,AllperCh,RF,33,35.2826510721248
3,AllperCh,RF,34,38.6574074074074
3,AllperCh,RF,35,42.4836601307189
3,AllperCh,RF,36,38.0116959064327
3,AllperCh,RF,37,42.483660130719
3,AllperCh,RF,38,41.9103313840156
3,AllperCh,RF,39,45.7516339869281
3,AllperCh,RF,40,37.6906318082788
3,LSTM,KNN,1,36.8421052631579
3,LSTM,KNN,2,47.3684210526316
3,LSTM,KNN,3,36.8421052631579
3,LSTM,KNN,4,44.4444444444444
3,LSTM,KNN,5,26.3157894736842
3,LSTM,KNN,6,36.8421052631579
3,LSTM,KNN,7,33.3333333333333
3,LSTM,KNN,8,52.6315789473684
3,LSTM,KNN,9,17.6470588235294
3,LSTM,KNN,10,22.2222222222222
3,LSTM,KNN,11,31.5789473684211
3,LSTM,KNN,12,31.5789473684211
3,LSTM,KNN,13,38.8888888888889
3,LSTM,KNN,14,38.8888888888889
3,LSTM,KNN,15,29.4117647058824
3,LSTM,KNN,16,47.0588235294118
3,LSTM,KNN,17,18.75
3,LSTM,KNN,18,26.3157894736842
3,LSTM,KNN,19,35.2941176470588
3,LSTM,KNN,20,33.3333333333333
3,LSTM,KNN,21,38.8888888888889
3,LSTM,KNN,22,27.7777777777778
3,LSTM,KNN,23,11.1111111111111
3,LSTM,KNN,24,33.3333333333333
3,LSTM,KNN,25,35
3,LSTM,KNN,26,26.3157894736842
3,LSTM,KNN,27,38.8888888888889
3,LSTM,KNN,28,22.2222222222222
3,LSTM,KNN,29,30
3,LSTM,KNN,30,38.8888888888889
3,LSTM,KNN,31,15.7894736842105
3,LSTM,KNN,32,31.5789473684211
3,LSTM,KNN,33,47.3684210526316
3,LSTM,KNN,34,12.5
3,LSTM,KNN,35,41.1764705882353
3,LSTM,KNN,36,21.0526315789474
3,LSTM,KNN,37,47.0588235294118
3,LSTM,KNN,38,42.1052631578947
3,LSTM,KNN,39,17.6470588235294
3,LSTM,KNN,40,35.2941176470588
3,LSTM,RF,1,52.6315789473684
3,LSTM,RF,2,42.1052631578947
3,LSTM,RF,3,42.1052631578947
3,LSTM,RF,4,44.4444444444444
3,LSTM,RF,5,42.1052631578947
3,LSTM,RF,6,52.6315789473684
3,LSTM,RF,7,44.4444444444444
3,LSTM,RF,8,21.0526315789474
3,LSTM,RF,9,35.2941176470588
3,LSTM,RF,10,44.4444444444444
3,LSTM,RF,11,42.1052631578947
3,LSTM,RF,12,36.8421052631579
3,LSTM,RF,13,44.4444444444444
3,LSTM,RF,14,38.8888888888889
3,LSTM,RF,15,17.6470588235294
3,LSTM,RF,16,47.0588235294118
3,LSTM,RF,17,25
3,LSTM,RF,18,31.5789473684211
3,LSTM,RF,19,47.0588235294118
3,LSTM,RF,20,38.8888888888889
3,LSTM,RF,21,38.8888888888889
3,LSTM,RF,22,27.7777777777778
3,LSTM,RF,23,38.8888888888889
3,LSTM,RF,24,27.7777777777778
3,LSTM,RF,25,55
3,LSTM,RF,26,52.6315789473684
3,LSTM,RF,27,38.8888888888889
3,LSTM,RF,28,38.8888888888889
3,LSTM,RF,29,55
3,LSTM,RF,30,22.2222222222222
3,LSTM,RF,31,31.5789473684211
3,LSTM,RF,32,47.3684210526316
3,LSTM,RF,33,31.5789473684211
